Fakultet,Titula,Broj
fdm,Prof. dr,10
fdm,Prof.,2
fdm,Prof. mr,4
fdm,Doc. dr,4
fdm,Doc.,1
fdm,dr,3
fdm,mr,9
fdm,bez titule,16
fist,Prof. dr,21
fist,Doc. dr,7
fist,Doc. mr,1
fist,dr,6
fist,mr,16
fist,bez titule,21
fkt,Prof. dr,32
fkt,Prof. mr,2
fkt,Doc. dr,20
fkt,dr,11
fkt,mr,42
fkt,bez titule,20
fmefb,Prof. dr,34
fmefb,Doc. dr,10
fmefb,Doc. mr,1
fmefb,dr,7
fmefb,mr,14
fmefb,bez titule,17
fpn,Prof. dr,20
fpn,Doc. dr,7
fpn,mr,5
fpn,bez titule,5
fprn,Prof. dr,36
fprn,Doc. dr,12
fprn,dr,9
fprn,mr,27
fprn,bez titule,11
fptbhe,Prof. dr,23
fptbhe,Doc. dr,10
fptbhe,dr,6
fptbhe,mr,15
fptbhe,bez titule,7
fsm,Prof. dr,14
fsm,Doc. dr,3
fsm,dr,8
fsm,mr,7
fsm,bez titule,7
hs,Prof. dr,41
hs,Doc. dr,10
hs,dr,9
hs,mr,14
hs,bez titule,5
politehnika,Prof. dr,12
politehnika,Prof. mr,1
politehnika,Doc. dr,7
politehnika,dr,5
politehnika,mr,19
politehnika,bez titule,12
